State,API URL,Map URL
Maine,https://geo.dot.gov/server/rest/services/Hosted/MaineIventory/FeatureServer,https://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FMaineIventory%2FFeatureServer&source=sd
Maryland,https://geo.dot.gov/server/rest/services/Hosted/MarylandInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FMarylandInventory%2FFeatureServer&source=sd
Massachusetts,https://geo.dot.gov/server/rest/services/Hosted/MassachusettsInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FMassachusettsInventory%2FFeatureServer&source=sd
Michigan,https://geo.dot.gov/server/rest/services/Hosted/MichiganInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FMichiganInventory%2FFeatureServer&source=sd
Minnesota,https://geo.dot.gov/server/rest/services/Hosted/MinnesotaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FMinnesotaInventory%2FFeatureServer&source=sd
Mississippi,https://geo.dot.gov/server/rest/services/Hosted/MississippiInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FMississippiInventory%2FFeatureServer&source=sd
Missouri,https://geo.dot.gov/server/rest/services/Hosted/MissouriInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FMissouriInventory%2FFeatureServer&source=sd
Montana,https://geo.dot.gov/server/rest/services/Hosted/MontanaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FMontanaInventory%2FFeatureServer&source=sd
Nebraska,https://geo.dot.gov/server/rest/services/Hosted/NebraskaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FNebraskaInventory%2FFeatureServer&source=sd
Nevada,https://geo.dot.gov/server/rest/services/Hosted/NevadaInventory/FeatureServer,http://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fgeo.dot.gov%2Fserver%2Frest%2Fservices%2FHosted%2FNevadaInventory%2FFeatureServer&source=sd
