longitude,latitude,val
-118.387971374344,34.2483191527193,1
-118.448504,34.052542,1
-118.271387,34.040539,1
-118.248589,34.059133,1
-118.096665,33.759802,1
-118.265628,33.770508,1
-118.480505,34.30309,1
-118.227605,34.066801,1
-118.368841,34.036777,1
-118.064,34.06872,1
-118.236065,34.039736,1
-117.243,32.89947,1
-118.468371,34.221665,1
-117.459053,33.909914,1
-118.147111,34.14762,1
-118.152655,34.145138,1
-118.150133,34.145119,1
-118.149597,34.118433,1
-118.192,33.7637,1
-118.403342,33.94325,1
-118.556708,34.241116,1
-117.575,34.07122,1
-119.170865,34.228315,1
-116.543589,33.824004,1
-121.876172,37.700187,1
-117.38,34.0189,1
-121.58889,38.69005,1
-118.44704,34.017081,1
-118.49583,34.010021,1
-118.434454,34.156839,1
-118.35904,34.138717,1
-118.448346,34.211366,1
-118.153806,33.94756,1
-122.4152,37.80619,1
-121.427045,38.599693,1
-122.430237,37.784912,1
-122.401,37.78881,1
-122.411265,37.791791,1
-118.377527,34.076264,1
-118.24789,34.057657,1
-118.497212,34.169242,1
-118.523887,34.248959,1
-118.528543,34.241687,1
-118.532588,34.236853,1
-118.544934,34.22947,1
-118.28192,33.740758,1
-118.449219,34.293717,1
-118.474585,34.077588,1
-118.050548,34.145528,1
-117.864,34.13556,1
-118.3966,33.9826,1
-118.385231,34.029971,1
-117.870566,33.777054,1
-119.045854662704,34.1665760166028,1
-117.898618,33.919899,1
-118.934793,34.192178,1
-119.3368,34.418322,1
-117.809208,34.105275,1
-118.136621,34.147709,1
-119.2124,34.267352,1
-119.2154,34.268756,1
-119.2492,34.268,1
-118.425334,33.917593,1
-117.95463,34.089085,1
-118.175758,33.930663,1
-121.732405,38.539336,1
-120.64492,35.25939,1
-122.024849,36.973393,1
-118.265821,33.773005,1
-121.2634,38.66292,1
-121.467902,38.57277,1
-121.365,38.7042,1
-121.517263,38.615468,1
-121.4487,38.552483,1
-121.5112,38.524403,1
-120.78962,38.73323,1
-121.9628,38.356027,1
-121.967,38.36557,1
-121.987,38.35172,1
-122.001886,38.356907,1
-121.9862,38.355867,1
-121.994475,38.351758,1
-121.297614,38.682605,1
-121.842567,38.457369,1
-120.828,38.72799,1
-121.067,38.6476,1
-121.391,38.40553,1
-121.17,38.74453,1
-121.334337,38.618066,1
-73.154972,44.469281,1
-121.69,38.15485,1
-122.044229,38.25281,1
-122.123,38.23723,1
-122.265895,38.105062,1
-118.399767,33.944761,1
-121.993654,38.35109,1
-121.491058,38.578568,1
-73.154972,44.469281,1
-118.256812,34.059047,1
-118.256673,34.033898,1
-118.21713,34.081998,1
-118.257977,33.799476,1
-118.444358,34.208708,1
-118.390147,34.241928,1
-122.822404,47.044011,1
-122.664667,45.508396,1
-123.2091,39.15,1
-121.961192,38.368755,1
-121.1054805,38.9412492,1
-121.7388,38.54643,1
-121.738,38.5443,1
-121.749713,38.544538,1
-121.6947,38.55755,1
-121.721373,38.569412,1
-118.13889,33.84788,1
-122.5096,37.94495,1
-122.2087,37.7136,1
-122.296229,47.443377,1
-88.244185,40.119161,1
-116.197968,43.608009,1
-98.490136,29.427254,1
-123.019758,44.99574,1
-122.8249,45.508795,1
-122.0678,38.2482,1
-122.418,37.77913,1
-124.015824,44.928439,1
-73.608978,40.814019,1
-81.379663,28.535975,1
-89.363091,43.083979,1
-122.938962,47.035421,1
-123.115389,44.586123,1
-122.707102,45.545898,1
-120.689683,35.249929,1
-120.676,35.25982,1
-73.857693,42.702424,1
-73.773021,42.969823,1
-73.93433,41.688323,1
-117.388933,47.673347,1
-117.425025,47.654998,1
-93.57875,41.615759,1
-93.698315,41.682385,1
-110.781792,32.236156,1
-76.717216,39.155907,1
-74.807516,40.286518,1
-123.033213,44.009797,1
-95.372854,29.756604,1
-73.774182,42.97167,1
-119.829553,34.44198,1
-87.626038,41.892757,1
-81.93279,34.950136,1
-81.931714,34.951926,1
-81.624616,34.715982,1
-73.240315,41.157925,1
-72.927405,41.305794,1
-72.934141,41.305265,1
-72.928369,41.304245,1
-72.093784,41.355486,1
-73.369266,41.119291,1
-72.663078,41.951328,1
-87.915847,42.592469,1
-89.52884,43.091229,1
-80.939041,34.042116,1
-81.639054,41.503373,1
-82.456866,38.417603,1
-81.441748,28.560572,1
-81.377632,28.556879,1
-81.458938,28.429015,1
-81.44774,28.528024,1
-81.351919,28.512494,1
-90.4218,38.694036,1
-122.988535,45.522609,1
-122.978089,45.520533,1
-122.193162,47.614744,1
-122.666392,45.509326,1
-111.876,40.74686,1
-111.883924,40.759561,1
-122.976675,47.071917,1
-72.687141,41.770428,1
-72.729919,41.879631,1
-94.72819,38.92591,1
-72.5395,42.36262,1
-80.07219,26.465314,1
-122.0195,47.545324,1
-122.091237,47.675897,1
-72.671569,41.765253,1
-71.041557,42.349249,1
-81.0348006044769,34.0074149334931,1
-81.035693,34.003323,1
-81.041802,34.008409,1
-81.040219,34.002255,1
-82.387269,34.84709,1
-82.400667,34.849724,1
-82.397797,34.849889,1
-82.393113,34.852754,1
-81.036161,33.997786,1
-82.396195,34.852789,1
-82.394826,34.85335,1
-82.399901,34.852437,1
-81.028444,34.925782,1
-81.648482,34.716556,1
-81.4573590734024,34.7799395518331,1
-118.49151,34.019875,1
-122.408991,37.784871,1
-122.419488,37.806798,1
-118.4898,34.010528,1
-104.771138,39.843886,1
-105.166116,39.953798,1
-71.122882,42.372442,1
-87.522819,41.492057,1
-85.659019,42.962078,1
-87.69982,41.94629288,1
-87.71321,41.75497055,1
-88.982897,40.507796,1
-88.984985,40.511172,1
-89.6504,39.79628,1
-86.3894,39.70909,1
-93.212318,30.198704,1
-92.9952,44.95121,1
-122.191915,47.761878,1
-122.12995,47.679224,1
-122.099034,47.672359,1
-122.147041,47.734211,1
-89.459112,43.011411,1
-89.500008,43.096636,1
-78.64347,35.778416,1
-78.642287,35.77435,1
-91.779289,37.958953,1
-97.759109,30.206145,1
-71.467911,42.999265,1
-123.198497,39.1458,1
-82.279741,34.749177,1
-80.31736,36.910575,1
-77.45233,37.551409,1
-77.42953,37.543387,1
-84.268049,36.010279,1
-86.448276,35.558371,1
-99.771463,32.408909,1
-101.938937,35.159354,1
-97.087169,32.676458,1
-97.731445,30.374542,1
-94.9738336486877,29.8072529971707,1
-94.133511,30.062535,1
-97.160994,32.839339,1
-96.30671,30.639201,1
-97.416019,27.73082,1
-96.863492,32.646784,1
-96.58308,33.775328,1
-106.417267,31.783928,1
-106.302211,31.724024,1
-97.478539,32.721585,1
-97.09448,32.928183,1
-97.734663,26.186259,1
-95.611942,29.913418,1
-95.422537,29.676558,1
-95.22531,29.625565,1
-95.60022,29.785494,1
-95.423096,29.990205,1
-95.275606,29.990275,1
-96.914294,32.849437,1
-95.817237,29.775354,1
-97.692745,31.078549,1
-97.84753,27.492086,1
-99.458211,27.528418,1
-95.10255,29.484543,1
-96.988337,33.022937,1
-94.727241,32.553772,1
-101.958266,33.535048,1
-96.644662,33.161606,1
-96.629967,32.829838,1
-102.151567,32.024113,1
-94.0071,29.953433,1
-96.719803,32.97135,1
-95.772812,29.534537,1
-97.69265,30.54205,1
-100.496244,31.44646,1
-98.57544,29.543147,1
-98.467365,29.517253,1
-98.625324,29.457047,1
-98.34469,29.556508,1
-97.6809454,30.4963137,1
-94.18396,30.314894,1
-95.57612,29.645808,1
-97.410328,31.079653,1
-95.3424998566223,32.3116541301218,1
-96.997881,28.851423,1
-97.160226,31.495348,1
-97.705239,32.7561,1
-98.545953,33.88049,1
-77.122192,38.809675,1
-77.460168,38.899751,1
-78.474663,38.086121,1
-77.324803,38.85358,1
-76.388316,37.042363,1
-77.459274,38.760854,1
-77.352948,37.175139,1
-77.465974,37.561646,1
-79.962578,37.345779,1
-77.438399,39.010459,1
-77.240836,38.927033,1
-78.147297,39.156514,1
-122.221114,47.338754,1
-122.454132,48.755607,1
-122.684286,47.562162,1
-122.333257,47.458466,1
-122.344838,47.778229,1
-122.930247,47.031067,1
-119.128998,46.236607,1
-123.342273,48.102863,1
-122.294997,47.207367,1
-122.2188,47.448354,1
-117.409937,47.739021,1
-117.312518,47.657264,1
-122.48576,47.21978,1
-122.597954,45.648094,1
-118.353406,46.047464,1
-85.308376,35.030251,1
-87.268667,36.513006,1
-85.496453,36.137109,1
-87.340223,36.023934,1
-89.379485,36.063277,1
-86.80853,35.957857,1
-86.494932,36.361376,1
-82.372119,36.374198,1
-82.487762,36.551978,1
-84.067881,35.920587,1
-83.969451,35.999617,1
-86.7051,36.29062,1
-86.041805,35.454702,1
-88.849653,36.369277,1
-89.795859,35.0353,1
-89.895533,35.181031,1
-83.382387,36.18226,1
-86.394979,35.854156,1
-86.743585,36.110606,1
-86.793132,36.191053,1
-122.81107,45.491783,1
-121.277279,44.055213,1
-123.258425,44.572608,1
-123.081397463229,44.059020850378,1
-122.603899,45.378967,1
-123.180863,45.227394,1
-122.858192,42.379969,1
-122.537403,45.531759,1
-123.006236,44.921582,1
-121.20996,45.613979,1
-122.770853,45.326814,1
-81.128164,34.055164,1
-81.222504,33.997902,1
-83.974822,35.830725,1
-89.791337,35.205818,1
-82.2354,36.54282,1
-85.190515,35.056433,1
-86.807186,33.394903,1
-87.858464,30.660697,1
-86.972193,34.563857,1
-86.208559,32.376832,1
-112.284168,33.459826,1
-111.791107,33.286316,1
-114.35287,34.54217,1
-111.695062,33.385361,1
-111.872266,33.434313,1
-112.253682,33.636921,1
-112.054162,33.509862,1
-112.420442,33.605183,1
-112.108088,33.639038,1
-111.915739,33.635224,1
-111.967793,33.346812,1
-110.985646,32.289823,1
-110.881798,32.207374,1
-121.832042,38.007799,1
-119.035324,35.310723,1
-117.995215,33.865497,1
-118.245675,33.824968,1
-116.471,33.78414,1
-118.100471,33.861544,1
-121.843715,39.756332,1
-117.928216,33.997621,1
-119.717629,36.836818,1
-122.463541,37.671267,1
-122.050128,37.980192,1
-117.615292,33.88309,1
-117.918684,33.675397,1
-121.691555,38.55252,1
-118.151166,33.9473,1
-117.975944,34.136553,1
-116.976156,32.795896,1
-118.026911,34.069536,1
-121.385527,38.402217,1
-117.106837,33.116492,1
-124.164405,40.800562,1
-121.204871,38.634132,1
-117.445732,34.135345,1
-121.9576,37.489389,1
-119.789796,36.818622,1
-117.968337,33.766376,1
-118.307028,33.889201,1
-121.558573,36.996869,1
-118.25536,34.137054,1
-119.820934,34.43427,1
-122.075178,37.662305,1
-117.031718,33.741163,1
-117.989861,33.71069,1
-117.723298,33.632505,1
-116.283712,33.70711,1
-118.273229,34.035168,1
-118.356601,34.133446,1
-120.502428,37.305891,1
-118.466606,34.269809,1
-120.99471,37.705119,1
-117.694876,34.082404,1
-117.212007,34.065387,1
-122.277767,38.292706,1
-117.100836,32.659001,1
-117.298334,33.181953,1
-117.864434,33.80857,1
-119.150217,34.22771,1
-118.138184,34.591173,1
-122.665068,38.267202,1
-117.025943,32.956772,1
-122.36654,40.571632,1
-122.227322,37.495963,1
-122.32124,37.985253,1
-117.297603,33.941878,1
-117.419673,33.925469,1
-121.256452,38.752198,1
-121.396604,38.631393,1
-121.662519,36.720023,1
-117.298,34.074378,1
-117.147384,32.833179,1
-117.215269,32.802475,1
-122.022783,37.359362,1
-121.877656,37.275144,1
-117.676142,33.47443,1
-122.162746,37.712609,1
-120.68455,35.25062,1
-121.988027,37.323569,1
