longitude,latitude,val
88.268,48.1022,1
88.8156,47.9788,1
90.202,47.444,1
144.635721,13.451433,1
144.635721,13.451433,1
144.635721,13.451433,1
144.635721,13.451433,1
144.635721,13.451433,1
144.663831,13.423299,1
145.733866,15.226121,1
167.5988,19.448,1
164.2589,24.59148,1
164.2589,24.59148,1
164.2589,24.59148,1
164.2589,24.59148,1
164.2589,24.59148,1
164.2589,24.59148,1
164.2589,24.59148,1
173.691389,52.462936,1
173.946916,52.743507,1
174.080249,52.748385,1
174.080249,52.748385,1
178.868889,51.566929,1
179.13245,51.503637,1
179.13245,51.503637,1
-178.319529,28.388919,1
-177.38839,28.207235,1
-177.378453,28.205977,1
-178.041111,51.741841,1
-177.848411,51.769894,1
-177.561754,51.926651,1
-176.63556,51.86083,1
-176.63583,51.86222,1
-176.634722,51.912587,1
-174.502395,52.24873,1
-174.502395,52.24873,1
-168.335282,53.332419,1
-168.335282,53.332419,1
-170.285583,57.11732,1
-170.285583,57.11732,1
-170.285583,57.11732,1
-170.283333,57.125262,1
-169.585741,56.584369,1
-169.585741,56.584369,1
-172.752647,60.498975,1
-168.282483,62.460864,1
-171.741111,63.779896,1
-171.644512,63.737872,1
-170.478976,63.695126,1
-169.066326,65.581214,1
-168.95644,65.759482,1
-167.956369,65.554207,1
-166.3129,22.4881,1
-166.3129,22.4881,1
-160.235527,21.86184,1
-160.05972,21.973184,1
-159.650812,21.938537,1
-159.588917,21.899967,1
-156.992294,20.785082,1
-156.990933,20.786757,1
-156.88694,20.7425,1
-156.598277,20.512381,1
-156.67861,20.871667,1
-156.687474,20.888186,1
-156.67649,20.87807,1
-156.69149,20.9331,1
-156.623875,20.808739,1
-156.511388,20.791971,1
-156.510694,20.792133,1
-156.46468,20.780421,1
-156.467371,20.89497,1
-156.465843,20.894671,1
-156.466862,20.897162,1
-156.465058,20.896154,1
-155.90031,19.21144,1
-155.898611,19.378085,1
-155.99916,19.642222,1
-155.995814,19.637789,1
-156.025123,19.66807,1
-155.912812,19.422553,1
-155.912812,19.422553,1
-155.922512,19.47392,1
-155.922512,19.47392,1
-155.965013,19.561414,1
-155.548618,19.085055,1
-155.505019,19.135052,1
-155.90301,20.184162,1
-155.834118,19.975276,1
-155.833087,20.041173,1
-155.832151,20.040174,1
-155.984405,20.758468,1
-155.58082,20.125555,1
-155.547521,20.125264,1
-155.470024,20.102224,1
-155.435524,20.090824,1
-159.358263,21.949972,1
-159.357476,21.952118,1
-159.355831,21.953557,1
-159.355,21.954167,1
-159.313907,21.980167,1
-159.315305,22.073984,1
-158.11215,21.25105,1
-158.09166,21.273611,1
-158.103355,21.291957,1
-158.127266,21.300469,1
-158.11972,21.320833,1
-158.11833,21.321111,1
-158.11333,21.322222,1
-158.086279,21.34259,1
-158.190351,21.439335,1
-158.190351,21.439335,1
-158.07166,21.280556,1
-157.9815,21.29013,1
