Longitude,Latitude,CapacityInMtpa
-90.194444,29.105833,-2.0
-90.194444,29.105833,-3.0
-80.296697,25.809175,-0.06
-80.82,28.591111,-0.63
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-93.3343038,29.77292736,-0.67
-89.35821088,29.30079786,-4.0
-89.35821088,29.30079786,-4.0
-93.3383568,30.035471,11.4
-93.3383568,30.035471,-4.5
-93.3383568,30.035471,-4.5
-93.3383568,30.035471,-4.5
-93.3383568,30.035471,-6.75
-93.348066,29.764163,-1.4
-93.348066,29.764163,-1.4
-93.348066,29.764163,-1.4
-93.348066,29.764163,-1.4
-93.348066,29.764163,-1.4
-93.348066,29.764163,-1.4
-97.28656287,27.91354225,-5.0
-97.28656287,27.91354225,-5.0
-97.28656287,27.91354225,-5.0
-97.28656287,27.91354225,-1.64
-97.28656287,27.91354225,-1.64
-97.28656287,27.91354225,-1.64
-97.28656287,27.91354225,-1.64
-97.28656287,27.91354225,-1.64
-97.28656287,27.91354225,-1.64
-97.28656287,27.91354225,-1.64
-76.4045082,38.3913422,13.7
-76.4045082,38.3913422,-5.25
-93.53395095,29.13697735,-3.0
-93.53395095,29.13697735,-3.0
-93.53395095,29.13697735,-3.0
-93.53395095,29.13697735,-3.0
-93.330534,30.091298,-5.52
-93.330534,30.091298,-5.52
-93.330534,30.091298,-5.52
-93.330534,30.091298,-5.52
-93.330534,30.091298,-5.52
-81.61041174,30.40879661,0.0
-81.61041174,30.40879661,-0.33
-81.61041174,30.40879661,-0.33
-81.61041174,30.40879661,-0.33
-81.000278,32.091111,12.0
-81.000278,32.091111,-0.25
-81.000278,32.091111,-0.25
-81.000278,32.091111,-0.25
-81.000278,32.091111,-0.25
-81.000278,32.091111,-0.25
-81.000278,32.091111,-0.25
-81.000278,32.091111,-0.25
-81.000278,32.091111,-0.25
-81.000278,32.091111,-0.25
-81.000278,32.091111,-0.25
-95.317355,28.932003,13.2
-95.317355,28.932003,-5.1
-95.317355,28.932003,-5.1
-95.317355,28.932003,-5.1
-95.317355,28.932003,-5.1
-93.3596,29.811571,-1.3
-93.3596,29.811571,-1.3
-93.3596,29.811571,-1.3
-93.3596,29.811571,-1.3
-93.3596,29.811571,-1.3
-93.3596,29.811571,-1.3
-93.3596,29.811571,-1.3
-93.3596,29.811571,-1.3
-93.3596,29.811571,-1.3
-93.3596,29.811571,-1.3
-93.919418,29.761394,15.7
-93.919418,29.761394,-6.03
-93.919418,29.761394,-6.03
-93.919418,29.761394,-6.03
-88.503663,30.322382,8.8
-88.503663,30.322382,-5.43
-88.503663,30.322382,-5.43
-93.287833,30.120416,17.9
-93.287833,30.120416,-5.93
-93.287833,30.120416,-5.93
-93.287833,30.120416,-5.93
-93.300819,30.105668,-2.2
-93.300819,30.105668,-2.2
-93.300819,30.105668,-2.2
-93.300819,30.105668,-2.2
-93.95962882,29.81166342,-6.75
-93.95962882,29.81166342,-6.75
-93.95962882,29.81166342,-6.75
-93.95962882,29.81166342,-6.75
-97.410844,25.950835,-2.0
-97.410844,25.950835,-2.0
-97.410844,25.950835,-5.4
-97.410844,25.950835,-5.4
-97.410844,25.950835,-5.4
-97.410844,25.950835,-5.4
-97.410844,25.950835,-5.4
-93.87405115,29.75409666,30.4
-93.87405115,29.75409666,-5.0
-93.87405115,29.75409666,-5.0
-93.87405115,29.75409666,-5.0
-93.87405115,29.75409666,-5.0
-93.87405115,29.75409666,-5.0
-93.87405115,29.75409666,-4.5
-89.886404,29.600411,-10.0
-89.886404,29.600411,-10.0
-71.064,42.393,5.1
-70.616774,42.398986,3.0
-70.665422,42.573468,0.0
-89.991638,29.859605,-2.0
-89.991638,29.859605,-2.0
-89.991638,29.859605,-2.0
-93.2,29.85,5.3
-76.233213,41.653541,-1.03
-76.233213,41.653541,-1.03
-75.299108,39.841886,-1.5
-93.32394745,29.77427234,-10.0
-93.32394745,29.77427234,-10.0
-89.872471,29.597258,-11.3
-89.872471,29.597258,-11.3
-89.656,29.067,-6.1
-89.82260253,29.05902215,-2.8
-72.0159881,42.106794,-0.15
-75.37059776,39.8377051,-0.0
