longitude,latitude,val
-96.717819,40.856204,1
-96.699689,40.811394,1
-98.379743,40.91701,1
-97.130798,44.904113,1
-97.146785,44.00769,1
-96.701622,40.762848,1
-91.208355,40.825493,1
-92.255887,38.588189,1
-103.14969,44.103769,1
-94.012676,44.18791,1
-92.503307,44.066369,1
-93.251026,44.974073,1
-92.149117,38.549973,1
-100.774849,46.823993,1
-93.246789,45.036651,1
-93.287848,44.851239,1
-95.580093,45.325268,1
-95.597034,45.314149,1
-92.980113,43.678937,1
-93.272259,45.15281,1
-93.287884,45.074958,1
-93.03913,44.962858,1
-93.166635,44.95859,1
-93.521407,44.798999,1
-93.351905,44.807343,1
-93.123553,44.843646,1
-95.004701,45.452715,1
-96.213763,43.640938,1
-94.622302,44.737557,1
-94.503642,45.121591,1
-93.621899,42.021148,1
-87.663596,41.956159,1
-95.258619,44.39915,1
-93.365823,43.649515,1
-104.987981,39.711518,1
-95.341421,44.787403,1
-94.994495,44.776707,1
-95.54527,44.806338,1
-95.372122,45.646833,1
-76.774898,39.091377,1
-93.568857,45.047971,1
-93.212693,44.986384,1
-95.985501,44.558104,1
-95.795705,44.44248,1
-95.671563,44.609779,1
-104.496219,38.274655,1
-96.58752,46.261969,1
-95.043137,45.11129,1
-92.930058,46.010739,1
-96.431225,45.571633,1
-93.209326,45.002254,1
-122.445212,47.253205,1
-95.372767,44.948469,1
-95.1146696796234,43.8556478533651,1
-103.621179,40.2665,1
-117.107501,32.754335,1
-94.157543,44.768858,1
-93.213265785675,44.716966036813,1
-93.403271,45.113215,1
-93.178091,44.986615,1
-98.2541268674591,44.3703025613021,1
-88.412481,41.112992,1
-104.707111,38.828151,1
-111.1857232,47.5190109,1
-93.579499,43.664862,1
-96.420357,46.659153,1
-95.097083,44.788644,1
-95.090323,44.541392,1
-94.626508,43.98108,1
-96.4903,45.80284,1
-92.932539,44.93714,1
-95.592657,43.635546,1
-105.962093,35.672836,1
-95.808232,44.791048,1
-89.652986,39.779213,1
-95.415962,42.47751,1
-116.219339,43.621473,1
-93.213185,39.1083276,1
-95.151126,43.144387,1
-82.224577,34.873697,1
-82.416499,34.788922,1
-96.291953,42.627618,1
-81.864656,41.412789,1
-96.176297,43.078307,1
-88.970711,40.458468,1
-92.868506,43.668333,1
-95.8113,46.09328,1
-89.306125,39.561728,1
-76.845822,38.99791,1
-96.879627,46.862518,1
-96.844817,46.876049,1
-98.000376,40.868195,1
-96.763221,44.310603,1
-98.455047,45.459417,1
-98.431897,45.1573,1
-84.300064,35.934411,1
-88.806851,39.412428,1
-84.033397,39.817361,1
-86.790645,36.159388,1
-87.960781,41.71298,1
-87.851241,42.317212,1
-94.227487,42.732542,1
-94.191947,42.484893,1
-91.293817,40.648023,1
-91.537756,41.654571,1
-76.383423,37.097728,1
-79.977701,33.199811,1
-96.747184,43.544311,1
-96.711735,43.540539,1
-96.708286,43.500962,1
-96.770227,43.499307,1
-96.81021,43.51454,1
-96.774568,43.524515,1
-89.679796,40.66394,1
-92.867885,40.720146,1
-99.857214,42.549595,1
-96.747265,40.282424,1
-96.720691,40.814276,1
-98.4244865,45.459039,1
-98.175122,44.371888,1
-100.316042,44.37805,1
-103.285279,44.066967,1
-98.519856,44.87543,1
-96.262962,44.719282,1
-97.019381,47.935106,1
-94.390271,44.894193,1
-94.708115,45.380755,1
-95.576231,46.579101,1
-92.4537,39.432453,1
-88.996595,40.530365,1
-89.081528,39.386204,1
-89.465298,41.382223,1
-89.640412,39.757093,1
-89.686464,39.800091,1
-89.637981,39.713243,1
-95.329839,44.605247,1
-97.389343,43.723819,1
-93.176157,44.684312,1
-93.253784,44.095886,1
-93.164039,45.157352,1
-92.495979,44.022175,1
-123.026223,44.018404,1
-89.967056,36.684336,1
-97.212563,46.899404,1
-96.78691,46.914777,1
-80.939041,34.042116,1
-82.225209,34.948657,1
-89.531988,37.086162,1
-96.012578,45.690934,1
-93.26884,44.29054,1
-82.425596,34.979913,1
-97.3966719711639,42.8839945684575,1
-86.1581345,39.4162496,1
