longitude,latitude,val
-84.723382,45.868583,1
-84.729233,45.872838,1
-88.547357,48.10741,1
-75.139679,39.946148,1
-71.557314,41.173521,1
-84.473839,45.645547,1
-76.180067,38.702632,1
-64.938551,18.338714,1
-135.729608,58.389103,1
-64.703452,18.387405,1
-71.054402,42.371728,1
-110.254232,48.00067,1
-136.227555,57.957666,1
-151.409955,59.602478,1
-120.598901,48.201453,1
-80.103688,26.16819,1
-70.248538,43.656668,1
-76.635847,34.699596,1
-90.519533,41.509354,1
-82.816221,41.655176,1
-86.775296,37.260208,1
-80.768055,32.177501,1
-123.372031,48.421635,1
-87.885949,43.003606,1
-123.842023,40.32822,1
-76.817598,35.913063,1
-66.116833,18.443895,1
-87.302162,32.042891,1
-89.793792,29.575738,1
-88.08194,30.251671,1
-118.322031,33.344617,1
-74.013387,40.670925,1
-70.50991,43.849316,1
-97.069132,27.839964,1
-76.313966,35.018791,1
-81.598776,39.272284,1
-77.017802,38.786704,1
-122.322502,48.020155,1
-109.39176,47.737469,1
-80.798327,32.230406,1
-71.412697,41.586697,1
-89.973373,29.922054,1
-86.112458,37.179513,1
-64.938551,18.338714,1
-68.659799,44.154027,1
-122.616364,47.549145,1
-90.056152,29.952996,1
-74.03192,40.713809,1
-122.815767,47.275562,1
-75.926913,36.483528,1
-74.078807,40.433299,1
-76.740744,35.427998,1
-73.995815,40.703553,1
-82.817053,28.05886,1
-71.278762,41.668323,1
-122.6727,48.159055,1
-72.989581,40.692313,1
-90.49472,38.964102,1
-71.317683,41.489276,1
-73.016675,40.748356,1
-72.092575,41.355833,1
-79.396928,42.157724,1
-82.561034,42.614152,1
-70.919783,42.30286,1
-76.013401,36.449384,1
-73.173702,40.642968,1
-76.065246,35.073688,1
-68.423712,44.181201,1
-122.827471,47.266992,1
-88.97142,30.214683,1
-73.242443,40.715592,1
-89.158462,47.912041,1
-122.412231,37.809484,1
-81.090282,32.081771,1
-81.004042,39.566103,1
-122.49456,47.794975,1
-122.455371,37.872765,1
-121.604065,38.236452,1
-123.396647,48.643047,1
-82.759863,27.586213,1
-87.303654,32.055739,1
-151.414732,59.606496,1
-68.203392,44.391959,1
-122.624926,47.561755,1
-132.391808,56.474473,1
-91.551891,37.375381,1
-88.471718,48.158812,1
-90.505474,41.521513,1
-148.683117,60.77662,1
-73.090023,40.660753,1
-90.544082,41.528408,1
-123.430694,48.121891,1
-64.848927,18.32668,1
-74.074987,40.68741,1
-84.435251,37.846884,1
-122.223114,48.004286,1
